address,latitude,longitude
herrenwiese 1 | 57319 bad berleburg,51.0627639,8.399846638834093
im seifental 21 | 53498 bad breisig,50.53081495,7.273751990939168
borsigallee 31 | 60388 frankfurt,50.1391167,8.7455471
waldstrasse 18 | 64331 weiterstadt,49.889567,8.6110668081349
in den birken 16 | 66999 hinterweidenthal,49.190488900000005,7.752622807283149
schlotthamer strasse 3a | 84503 altötting,48.2237918,12.6774861
talstrasse 1 | 57334 bad laasphe,50.9150171,8.35279723076923
richard-lenk-str. 11-13 | 77876 kappelrodeck,48.5950437,8.1158513
haller strasse 207 | 74564 crailsheim,49.13959905,10.028752448355736
teckstrasse 12 | 73230 kirchheim,48.6478213,9.4553604
maxstrasse 8 | 13347 berlin,52.5492479,13.3652417
hauptstr. 31 | 63920 großheubach,49.7262353,9.2230059
am bahnhof 2 | 03185 peitz,51.86413,14.408473498101266
brühlstrasse 35 | 41849 wassenberg,51.0944876,6.157837793422209
im steu 7 | 31737 rinteln,52.1690553,9.116923
bahnstrasse 39 | 7210 mattersburg,47.7369871,16.4042672
badstraße 20 | 76829 landau,49.19718555,8.111296557012622
wilhelm-stein-weg 15 | 22339 hamburg,53.646106,10.032248458049818
bahnhofstrasse 31 | 71638 ludwigsburg,48.8914803,9.187150331099417
edelzeller strasse 6a | 36093 künzell,50.5176668,9.70957
römerstrasse 631 | 47443 moers,51.4601615,6.6527598
"st. georgener hauptstraße, 135 | 3151 sankt georgen",48.1344107,15.6129963
zimmerstrasse 11 | 10969 berlin,52.507448,13.3880238
sportallee 6 | 22335 hamburg,53.614757,10.00121113874376
hanns-martin-schleyer-strasse 37 | 47877 willich,51.2752005,6.5200175
15 rue du bois | 68570 osenbach,47.9881215,7.2137969
basaltweg 64 | 22395 hamburg,53.65671425,10.091755474603293
invalidenstrasse 91 | 10115 berlin,52.5285625,13.3767164
grenzweg 4 | 37431 bad lauterberg,51.6218205,10.4369636
fliederstrasse 17 | 47800 krefeld,51.3434818,6.6139679
hohenbergstrasse | 76829 landau,49.1930803,8.066236
alexander-fleming-str. 2 | 51643 gummersbach,51.01384325,7.565139101613727
höhenweg 72 | 35041 marburg,50.8107773,8.742722010218245
max-braun-strasse 1 | 97828 marktheidenfeld,49.8272149,9.5416915
reiherdamm 5 | 20457 hamburg,53.5280908,9.9792296
raiffeisenstrasse 5 | 54411 hermeskeil,49.662153,6.9501485
draßling 95 | 8422 st. nikolai,46.8072202,15.64814905071784
162 rue de la gare | 59470 esquelbecq,50.8896259,2.4110368
urbarialgasse 27 | 2425 nickelsdorf,47.940845350000004,17.07339354341972
burgweg 3 | 27432 alfstedt,53.5419806,9.0653776
energiepark 4 | 91732 merkendorf,49.1982698,10.6876452
augsfelder strasse 6 | 97437 haßfurt,50.0295211,10.524821951998748
bahnhofstrasse 60 | 4910 ried im innkreis,48.20361815,13.488431510925889
salzgrund 67 | 74076 heilbronn,49.166237699999996,9.213142215372457
678 rue maréchal foch | 76580 le trait,49.4724152,0.8150966
möderitzer weg 53-55 | 19370 parchim,53.4376439,11.8393929
swebenring 7 | 46286 dorsten,51.7212225,7.0382982
hilsingstrasse 89 | 59174 kamen,51.58710275,7.628449551331354
niedertor 13 | 36088 hünfeld,50.6769428,9.7636984
an der babe 6 | 04509 zwochau,51.46162515,12.250103978202684
feldbahnweg 22 | 5111 bürmoos,47.9904566,12.9196858
clemens-cassel-strasse 26 | 29223 celle,52.6296361,10.0931042
zeile 8 | 2170 poysdorf,48.6662415,16.589930095652186
salzburger strasse 3 | 4870 vöcklamarkt,47.99389265,13.489982693288972
quedlinburger strasse 15 | 10589 berlin,52.523092,13.3103864
hans-günther-sohl-strasse 5 | 40235 düsseldorf,51.2327491,6.8198972805542155
avenue gaston cabannes - b.p. 69 | 33270 floirac,44.8284,-0.5234235
oberdorfstrasse 57 | 75015 bretten,49.04916545,8.720410050000002
talstrasse 28 | 72218 wildberg,48.6248971,8.7478349
poststrasse 51 | 20354 hamburg,53.554146200000005,9.987931104084764
138 rue leon faucher | 51450 betheny,49.2720041,4.0420753
4 rue de la poste | 94210 st maur des fosses,48.7928131,2.5154946
solmser gewerbepark 21 | 35606 solms/burgsolms,50.5435305,8.413866693363673
austrasse 9 | 4552 wartberg an der krems,47.9852501,14.119836269239515
bobstrasse 2 | 50676 köln,50.93378455,6.947318728316908
motorstrasse 24 | 70499 stuttgart,48.8272989,9.1075783
fischergasse 33 | 7083 purbach,47.905077899999995,16.698261497414887
chemnitzer strasse 14 | 30952 ronnenberg,52.346290550000006,9.674225247766966
alt bornheim 34 | 60385 frankfurt,50.129861899999995,8.71108118892989
heinzelsleite 13 | 95326 kulmbach,50.10336409999999,11.407873212079362
hohe buchleuthe 3 | 87600 kaufbeuren,47.878073349999994,10.616194168897932
morsestrasse 7 | 50769 köln,51.0385024,6.922209697548927
karl-haußmann-strasse 18 | 71636 ludwigsburg,48.8886418,9.164473950350814
alte schmelze 4 | 65201 wiesbaden,50.047936199999995,8.203189096435946
23 rue jean giraudoux | 75116 paris,48.8694313,2.2966766
lindenstrasse 35a | 01968 senftenberg,51.5282431,13.9926865
hallerstrasse 3-6 | 10587 berlin,52.5223679,13.3237302
hauptstrasse 36 | 72461 albstadt,48.28214035,8.999272534590578
dorfstrasse 4 | 77756 hausach,48.2826831,8.155636851724216
dorfstrasse 1 | 92358 seubersdorf,49.1616727,11.6230698
zöbinger hauptstrasse 11 | 3561 zöbing,48.488272699999996,15.690225132483995
21 rue principale | 67140 mittelbergheim,48.3956748,7.4436093
friedhofweg 10 | 74921 helmstadt-bargen,49.326232149999996,8.970669539130432
wilhelmstrasse 9 | 73642 welzheim,48.875614850000005,9.634482604084914
staatsstrasse 23 | 67483 edesheim,49.26332145000001,8.134704500000021
am waller freihafen 1 | 28217 bremen,53.0961834,8.7707318
lindenplatz 6 | 72818 trochtelfingen,48.307908,9.2459884
wiener strasse 96 | 60599 frankfurt,50.0985443,8.734084097276941
gotzweg 3 | 41238 mönchengladbach,51.1534586,6.4512935
wilhelmstrasse 6 | 55283 nierstein,49.870657800000004,8.339735875227072
fritz-vomfelde-str. 12 | 40547 düsseldorf,51.2394403,6.734930999535145
klingelbergerstrasse 13 | 77770 durbach,48.490934949999996,8.003152966985292
lise-meitner-strasse 2 | 24941 flensburg,54.7637992,9.4469188
blumenstrasse 16 | 90762 fürth,49.4754925,10.986714112335335
hanauer landstrasse 291b | 60314 frankfurt,50.1170221,8.7257398
gartenstrasse 30 | 94036 passau,48.577045299999995,13.401744949999998
talstrasse 2 | 77887 sasbachwalden,48.6201933,8.1214076
enge strasse 1 | 21335 lüneburg,53.2470164,10.4065208
brückesgasse 15 | 55234 bechtolsheim,49.80525375,8.193574798281755
